X,Y
0.0,0.0
5.8149677269291154e-05,0.00044943820224719103
0.00023259870907716462,0.0035955056179775282
0.00029074838634645577,0.0044943820224719105
0.0005233470954236204,0.006741573033707865
0.0013955922544629878,0.009887640449438202
0.0026167354771181018,0.018426966292134833
0.006105716113275571,0.035955056179775284
0.010873989649357447,0.060674157303370786
0.020875734139675525,0.09662921348314607
0.03983252892946444,0.15101123595505617
0.07652497528638716,0.23370786516853934
0.14043147060533814,0.34606741573033706
0.2584753154619992,0.4952808988764045
0.4615921381636332,0.6930337078651685
0.7475141012967378,0.8889887640449439
1.0,1.0
