X,Y
0.0,0.0
0.0012740101920815366,0.029941418962898675
0.0026460211681693453,0.07159904534606205
0.005684045472363779,0.1117379041006726
0.010584084672677381,0.1513343458450857
0.018228145825166603,0.1946192232588414
0.028420227361818894,0.23822955087871556
0.04390435123480988,0.28954220004339337
0.06624852998823991,0.35072683879366456
0.09613876911015289,0.41701019743979173
0.14396315170521365,0.4902364938164461
0.2153077224617797,0.5790844000867867
0.3120344962759702,0.6701019743979171
0.43081144649157194,0.7596007810804947
0.5635045080360643,0.8418311998264265
0.6990395923167385,0.904860056411369
0.8173265386123089,0.950857018876112
0.9075852606820854,0.9812323714471686
0.9640337122696981,0.9947927967021046
0.9912779302234418,0.9994575829898026
1.0,1.0
